iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,episodes_per_iter,lr_theta,lr_phi,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.6190215853504326,0.6190215853504326,,,0.0,2.523934964172026,-1.3772353400306865,2.578068000441675,2.318960594651411,0.9885745372461424,2.998597528485929,-1.914394027334374,16,0.0003,0.0001,1.09100909089374,-3.363736363564693,0.647071752754885,-1.3300452069405981
2,0.0,0.6033681595404075,0.5877147337303823,,,0.0,3.697753616483099,-1.2172603450282247,2.5556279684900884,1.90704423949032,1.0515519728072407,2.99894242208511,-1.9792744609884494,16,0.0003,0.0001,1.091108464288527,-3.3638332213478472,0.647165827279206,-1.3301356556684834
3,0.0,0.5699224845297635,0.5030311345084755,,,0.0,5.974039578375818,-2.3931931525307033,2.6260654620285937,1.4204507778494984,0.9205247461244788,2.999153384431842,-1.994712641090579,16,0.0003,0.0001,1.09120064141163,-3.363926950778768,0.647262386347062,-1.330223310817712
4,0.0,0.5823882389877882,0.6197855023618627,,,0.0,1.2791943952960176,-0.9510660361614363,2.5385516195528246,2.324557228620475,1.049275498418651,2.9981777716634967,-1.9707971666746673,16,0.0003,0.0001,1.0912935399501875,-3.3640184171321534,0.6473602330808478,-1.3303072048620486
5,0.0,0.5844933806397583,0.5929139472476381,,,0.0,4.796474191737394,-1.9337204213571677,2.5880494669138727,1.699895578118263,0.9273492533572787,2.9990102115514032,-1.986296143335883,16,0.0003,0.0001,1.091387079518089,-3.364112957295243,0.647458310582156,-1.33039639313447
6,0.0,0.5987552269031743,0.6700644582202543,,,0.0,3.3224369371365485,-1.121385855536894,2.5708931264448673,2.4181759386992847,1.113171199473319,2.9964528647363395,-1.9482215009751174,16,0.0003,0.0001,1.0914823975079513,-3.364206251460566,0.647557353782358,-1.3304608577665331
7,0.0,0.60374967557329,0.6337163675939835,,,0.0,2.6122403057439936,-1.2597826147373299,2.5975257354708714,2.3120916333412422,1.072204466153163,2.9970968210469806,-1.9180100889435707,16,0.0003,0.0001,1.0915780777502966,-3.3642969976772186,0.6476565635173511,-1.3305263117623536
8,0.0,0.6109051815658001,0.6609937235133716,,,0.0,3.600145467492726,-1.0703297674320567,2.5330467584734535,2.01641938875996,1.0607202270013731,2.9976964714228553,-1.9548222407431972,16,0.0003,0.0001,1.0916721548284536,-3.3643889475713435,0.6477551285771119,-1.3305814472717314
9,0.0,0.6173919445719804,0.6692860486214229,,,0.0,2.6470572012099955,-1.7783534439072055,2.5397798341224664,1.5172782572857648,1.02462236255245,2.999275205966594,-1.996534157976921,16,0.0003,0.0001,1.091762238911851,-3.364484044373558,0.6478513008796654,-1.3306448671824773
10,0.004763326239494389,0.6236673760505612,0.6801462593577878,0.6236673760505612,-0.47633262394943887,0.004763326239494389,3.951577814741844,-1.7882338512704945,2.534387634302743,1.356158129442034,1.0376633945204927,2.9985090483787658,-1.994563906085012,16,0.0003,0.0001,1.0918532730080481,-3.364578997033601,0.6479465119262029,-1.3307161067931639
