iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,phi1,phi2,phi3
1,0.0,0.31953871495830455,0.31953871495830455,,,0.0,0.09988899925013463,-0.8326387489307426,-2.9999999232627392e-05,-2.999999939405311e-05,-3.000029999979586
2,0.0,0.8602281280772954,1.4009175411962864,,,0.0,0.12529475289397168,0.29261275261171116,-5.970557798905363e-05,-5.9890750796900085e-05,-3.000027744002366
3,0.0,0.8930551084186439,0.9587090691013411,,,0.0,0.041197521517222155,0.3387346326033788,-8.284094517538234e-05,-7.840014359348455e-05,-3.0000272878757834
4,0.0,0.8753934916907795,0.8224086415071862,,,0.0,0.056438127559719636,-0.1749492317187125,-9.206376147995028e-05,-8.572797125219336e-05,-3.0000256631790876
5,0.0,0.7132524796613359,0.06468843154356124,,,0.0,0.06450662285663772,-0.5915398403532091,-0.00010479493351234167,-9.581191198664723e-05,-3.0000267181176543
6,0.0,0.5658834546529108,-0.17096167038921445,,,0.0,0.16558366167260152,-0.9812799422498985,-0.00011449849731785376,-0.00010652096605240841,-3.000039978178939
7,0.0,0.7797888031425025,2.0632208940800525,,,0.0,3.197201959319918,5.109846809568969,-0.00012975234730264656,-0.00012199204535550531,-3.000051841941691
8,0.0,0.7234359760292473,0.3289661862364603,,,0.0,0.21379707181420407,-1.216403497985925,-0.00013528713056567442,-0.00012529514923171386,-3.0000609224820813
9,0.0,0.7669680037270241,1.1152242253092397,,,0.0,0.11463766700583435,-0.6279595456997943,-0.00014395890791893133,-0.00013165692739879615,-3.000065139040606
10,0.0,0.8078998132434126,1.1762860988909085,,,0.0,0.10325387770309809,0.8335210718111823,-0.00015140692870173293,-0.00013422726612014036,-3.0000691067132976
11,0.0,0.8700008842349688,1.4910115941505306,,,0.0,0.6469673529557682,2.4113379771368346,-0.0001498699683097765,-0.00013017137462307708,-3.000075645747336
12,0.0,0.8942192329065756,1.1606210682942508,,,0.0,0.07253643599319988,0.7152052408497265,-0.00014622816318107318,-0.00012209012840033604,-3.000084180611618
13,0.0,0.8605646729440051,0.4567099533931574,,,0.0,0.03407521218803833,-0.3270424603177622,-0.0001421307881096455,-0.00011368324461159028,-3.0000928105363336
14,0.0,0.7873840818154506,-0.16396360285575673,,,0.0,0.12347663498939732,-0.8567093799098933,-0.00013355557126230798,-0.00010169558855494998,-3.0000993125569777
15,0.0,0.8042518194656761,1.0404001465688337,,,0.0,0.10931352458244901,0.9912843535408468,-0.0001247686410936379,-8.981740519783409e-05,-3.0001029185117587
16,0.0,0.8506990828139829,1.5474080330385853,,,0.0,0.22343342897556126,1.1418177871496884,-0.00012203078071280648,-8.479430602121395e-05,-3.000110105936592
17,0.0,0.9088299894490913,1.8389244956108255,,,0.0,1.4207248669470713,3.5741127981155056,-0.00012496027798333776,-8.63730963025965e-05,-3.000120255794168
18,0.0,0.849441434201462,-0.16016400500823602,,,0.0,0.1896459093580179,-0.9850966958447095,-0.0001311126055561216,-9.075746613313692e-05,-3.0001309298138628
19,0.0,0.8560840654841356,0.9756514285722614,,,0.0,0.19932607744167596,-0.4288294067955963,-0.0001361321705775962,-9.497743358221482e-05,-3.000143531315968
20,-0.004230334210293516,0.8769665789706487,1.2737343352143964,0.8769665789706487,-0.4230334210293516,-0.004230334210293516,0.10911312571871604,-0.12774951841631602,-0.00014248905670430885,-0.00010119168530937526,-3.000154256473088
21,-0.004230334210293516,0.9188031756285506,1.1562706481163414,0.8769665789706487,-0.4230334210293516,0.0,0.0966134032887522,-0.14277576026763078,-0.00014653498797695356,-0.0001093940482927178,-3.000159577304134
